# ra dec Gmag rv rvErr parallax ntransits
173.99895008 -22.58029765  11.42254200 -16.44843291  19.85520069   3.72932647          20
294.20521075  66.38831234  12.19245150 -89.98602226  19.55908676   2.73546440          24
  2.53566282  51.25623417  13.11343800 -20.20371618  19.71513822   3.32413713          21
  1.58810346  50.53366446  11.49303200  17.53552025  19.72482079   2.21835756          20
 76.49824896 -66.41047272  12.82542500 -17.02645620  19.65280350   1.64436802          31
 69.44816276 -65.27616692  12.40813800 -14.18056322  16.90949452   2.64246073          29
 63.04138426  53.08261146  12.73408900 -15.44443463  16.92810611   0.50505019          38
 67.91596586  -7.64868728  12.86731800  -7.70796021  19.63424807   1.02805214          29
  2.80155105  22.23586577  11.96291500 -15.31996647  19.40617781   1.15553518          26
271.52432815  20.25092834  12.30203600 -65.68919814  17.89352638   2.28779056          40
273.07366087  21.32629929  12.06011500  20.51994303  18.56773855   2.10412389          39
 91.96612660 -21.43109241  14.34223000 -132.09326964  17.59928960   0.85353068          33
254.69583381  65.26337662  13.48830200 -13.01215512  18.47419140   3.15254259          28
253.64926239  66.07404714  13.36943600  -1.97977347  19.10618592   1.10026388          28
250.34651591  66.16507590  13.09311500 -19.62199074  16.07352011   2.66382242          32
248.80471055  66.20392818  13.03852100 -42.77075940  17.49415561   1.07902612          28
315.54765296  59.88860970  12.57133300 -34.30915668  19.33321953   1.91621639          22
291.38343471 -67.00134912  13.51231600 -49.21766229  16.75935793   0.93454775          37
166.14900820 -37.03543503  13.18434400   3.27062913  19.68282132   1.86557173          20
233.00476044  23.09546383  12.14048500 -99.88902633  19.21623942   2.05736463          27
 57.64893274  25.42631490  11.73348700   4.54511323  19.12391746   7.29189965          23
340.50518680  36.83319608  11.79297600   3.05979471  13.66768740   1.93103447          42
339.32584752  37.19219266  12.47226900  18.96390711  19.53737881   1.31092133          24
208.28223005 -57.38203145  12.18982900 -64.66074064  19.92404766   1.13691255          21
248.46559034  -9.55234299  13.70046000 -77.55070696  16.41506830   0.07795470          32
210.21978878  34.01593018  12.03091500  26.41259741  19.19078288   1.37080409          22
211.75825809  36.42378957  12.22312500 -13.25021733  18.70221108   3.41352558          26
184.84923679 -52.24528131  12.44765100   0.27106071  18.78649327   1.30242035          35
 82.10188432  66.81302318  12.78031300   2.78822061  18.53816787   2.80813247          42
 84.88222064  67.62870350  11.67422600 -46.82129893  19.60743371   1.71599411          33
202.56072216  31.56125085  12.92092600 -60.04050185  17.27716990   1.75218546          30
155.19350250 -41.56652502  12.81993600   3.38726092  19.81241492   0.98425619          20
187.59535765 -54.02788669  12.63362900  68.04466029  17.90207797   2.99977539          25
191.53089283 -50.04810529  11.73872100  68.82239368  19.77950907   0.94817270          21
288.23789532  65.31712688  12.64031000 -12.01861751  19.86958141   1.79660690          29
283.04604660  66.80094130  12.92779000 -31.72848105  15.75544410   2.13175126          37
 32.51861458 -57.60718055  13.16165600 101.56895010  19.71541669   0.84005046          21
134.69378754 -30.13802903  13.36715100  69.22444367  17.88398747   0.32335848          32
 35.58064168  60.62026563  12.40039900  -3.66330116  18.91713881   1.67777157          22
291.99301137  65.55068736  13.32023500 -66.02975923  15.61187188   0.43152330          32
223.59347037 -63.98476425  12.56543300  -7.03491222  19.59824766   2.10344924          21
135.10060901 -30.36895656  13.63681900  25.71134039  17.61710348   0.75968201          36
 62.00190927 -61.58207926  11.73636100   8.27366887  18.91389466   5.90996735          23
243.06992394 -67.14300441  12.64611600  -3.70055232  17.69084600   1.81676481          25
 96.90177946 -66.74957899  12.65174800  32.90101111  17.86313392   1.43770265          64
 90.44808415 -66.88945146  13.56328600  67.41370026  12.14209349   0.22403450          58
 91.21980621 -66.79278986  12.96868500 -14.05234104  12.20245921   0.73546066          95
 90.12066226 -66.81843221  13.53597100  -7.01945957   7.66672441   3.11857363         147
 91.03223467 -66.68305006  13.29146100  28.73445001   9.42144160   2.99276948         150
 91.02653946 -66.62414324  12.56840000  12.21035083   8.65533148   1.23324180         126
