MJD mag magerr flux fluxerr
58601.4177710764 2.6849262943 0.0381628777 0.084339201 0.0029645635
58601.4177942245 2.7368754814 0.0401309272 0.0803988446 0.0029717972
58601.4178173727 2.7524252198 0.040197954 0.0792555916 0.0029344318
58601.4178405208 2.7443111563 0.0419782146 0.0798501134 0.003087377
58601.417863669 2.7146761915 0.0410947721 0.0820596241 0.0031060344
58601.4178868171 2.7314888746 0.0408033386 0.0807987143 0.003036619
58601.4179099653 2.6994616813 0.0393885897 0.083217627 0.003019089
58601.4179331134 2.7008249496 0.0382378552 0.0831132031 0.0029272088
58601.4179562616 2.7323714166 0.0403502757 0.0807330637 0.0030004618
58601.4179794097 2.6962644981 0.0386026479 0.0834630403 0.0029675733
58601.4180025579 2.7202272812 0.0392091377 0.0816411451 0.0029484009
58601.418025706 2.682298974 0.0377889831 0.0845435365 0.0029426308
58601.4180488542 2.7266169076 0.038470398 0.0811620928 0.0028758755
58601.4180720023 2.7545037717 0.039507706 0.0791040085 0.0028785281
58601.4180951505 2.6986634935 0.0371154846 0.0832788276 0.0028469504
58601.4181182986 2.7235362621 0.0378856187 0.0813927075 0.0028402073
58601.4181414468 2.739348227 0.0384634814 0.0802159459 0.0028418389
