MJD mag magerr flux fluxerr
58560.4874670023 2.835839338 0.0477628432 0.0733946265 0.0032288257
58560.4875715509 2.8493893093 0.0476996643 0.0724843546 0.0031845624
58560.4876761458 2.8200541306 0.047581793 0.0744694845 0.0032636931
58560.4877806944 2.747017339 0.0448206979 0.079651336 0.0032882274
58560.4878852546 2.8048931346 0.0460881433 0.0755166553 0.0032056944
58560.4879898148 2.8723678582 0.0492818444 0.0709664134 0.0032212911
58560.4880943634 2.8646020264 0.0486400767 0.0714758271 0.0032021642
58560.4881989699 2.8113066224 0.0464155811 0.0750718902 0.0032094551
58560.4883035069 2.7807854061 0.0450557211 0.0772121841 0.0032042467
58560.4884080324 2.7367058206 0.0434463224 0.0804114089 0.0032178134
58560.4885180208 2.7631250504 0.0451911063 0.078478371 0.0032665786
58560.4886172222 2.8625944324 0.0481878715 0.0716081126 0.0031782652
58560.4887217593 2.8102612199 0.0462180564 0.0751442081 0.0031988756
58560.4888263079 2.8162129557 0.0461356737 0.0747334132 0.0031757174
58560.4889308796 2.8101718835 0.0459815953 0.0751503914 0.0031827714
58560.4890354861 2.8560192673 0.0480311273 0.0720430836 0.00318717
58560.4891400926 2.8432029805 0.0471757612 0.0728985362 0.0031675821
58560.4892446528 2.8838627136 0.048256164 0.0702190443 0.0031210295
58560.4893491204 2.9168930752 0.0497238741 0.0681150014 0.0031195927
58560.489453669 2.8422709157 0.048027341 0.0729611438 0.0032275304
58560.4895582176 2.7575305349 0.0445721103 0.0788837932 0.0032384794
58560.4896627662 2.799301217 0.0457809837 0.0759065955 0.0032007724
58560.4897673264 2.8683298627 0.0483700411 0.0712308382 0.003173472
58560.4898719213 2.7585834424 0.0440820455 0.0788073317 0.0031997682
58560.4899764468 2.7896990672 0.0452925682 0.0765808836 0.0031947544
58560.4900810301 2.7860656813 0.0448729695 0.0768375887 0.0031757675
58560.4901855787 2.8745699274 0.0481161552 0.0708226265 0.0031387239
58560.490290162 2.8161623566 0.0456122394 0.0747368961 0.0031398335
58560.4903947107 2.7687331001 0.0446559751 0.0780740593 0.0032112676
58560.4904993056 2.8138284429 0.0459331434 0.0748977244 0.0031687279
58560.4906038194 2.8075704358 0.0456452123 0.0753306692 0.0031670668
58560.4907084375 2.8045481769 0.0457829152 0.075540652 0.003185476
58560.4908129977 2.8347034845 0.0463558025 0.0734714492 0.0031369881
58560.4909175 2.7812549262 0.0445726892 0.0771788014 0.0031685242
58560.4910220718 2.8574147969 0.0472449094 0.0719505439 0.0031309726
58560.4911267361 2.8138088498 0.0464961301 0.074899076 0.0032076238
58560.4912312037 2.7922434587 0.0448112234 0.0764016287 0.0031534037
58560.4913358333 2.8078691303 0.045092596 0.075309948 0.0031278632
58560.4914404051 2.7850522867 0.0451251864 0.0769093402 0.0031965997
58560.4915448727 2.7739857466 0.0448328932 0.0776972596 0.0032084305
58560.4916494444 2.8182735644 0.0462907462 0.0745917119 0.00318035
58560.4917539931 2.8025301698 0.0453182565 0.0756811865 0.0031590121
58560.4918586458 2.8881025966 0.0485774448 0.0699453683 0.0031295637
58560.4919631597 2.8329788793 0.0462329541 0.0735882455 0.0031336483
58560.4920676968 3.0020944364 0.0529468152 0.0629741371 0.0030710878
58560.4921722454 3.049054777 0.0552503139 0.0603084392 0.0030690432
58560.4922768056 2.9682546498 0.0515467059 0.0649677969 0.0030845316
58560.4923813657 2.9143410941 0.0497778679 0.0682752914 0.0031303292
58560.4924859259 2.9916076597 0.0523765381 0.063585331 0.0030674952
58560.492590544 2.9052174797 0.0497866047 0.0688514369 0.0031572988
58560.492695081 2.879628625 0.0480668456 0.070493415 0.0031209322
58560.4927996181 2.8839057566 0.047983336 0.0702162606 0.003103261
58560.4929041667 2.7997593647 0.0453972166 0.075874572 0.0031726024
58560.49300875 2.8377842042 0.0463726961 0.0732632733 0.0031292397
58560.4931133218 2.9004808001 0.0492156213 0.0691524673 0.0031347349
58560.4932179977 2.78665634 0.044685696 0.0767957991 0.0031607937
58560.4933225116 2.8084403222 0.0450233905 0.0752703388 0.0031214202
58560.4934269676 2.8391482617 0.0466617646 0.0731712872 0.0031447927
58560.4935315278 2.7838054049 0.044404131 0.0769977152 0.0031491357
58560.4936360764 2.8523789283 0.0468619344 0.0722850405 0.0031200302
58560.4937406597 2.8743943184 0.0471786106 0.0708340825 0.0030780635
58560.4938452199 2.8836269768 0.0474533345 0.0702342921 0.0030697719
58560.4939497685 2.7333761749 0.0430270712 0.0806583865 0.0031965498
58560.4940543519 2.8207465954 0.0461875207 0.0744220043 0.0031660384
58560.4941588889 2.7883561736 0.0443768406 0.0766756613 0.0031340367
58560.4942634722 2.7418132211 0.0435982071 0.0800340348 0.0032139085
58560.4943680556 2.8094627269 0.0449809969 0.0751994924 0.0031155459
58560.4944726389 2.8133556467 0.0447333445 0.0749303466 0.0030873031
58560.4945771528 2.7986954756 0.0443275638 0.0759489562 0.0031008862
58560.4946817361 2.8164106473 0.0450318635 0.0747198069 0.003099173
58560.4947863194 2.814503362 0.0448610416 0.0748511807 0.0030928451
58560.4948908796 2.762876309 0.0426903943 0.0784963524 0.003086525
58560.4949954282 2.8349826943 0.0454575688 0.0734525576 0.0030754119
58560.4950999769 2.8217233878 0.045204702 0.0743550799 0.0030958821
58560.4952045718 2.8106364954 0.0445936467 0.0751182396 0.0030853792
58560.4953090741 2.8037844294 0.0445923447 0.0755938089 0.0031048219
58560.4954136343 2.8502053556 0.0455755925 0.0724298954 0.0030404673
58560.4955181944 2.8340776002 0.0462413148 0.0735138148 0.0031310449
58560.4956227431 2.7941185972 0.0442461379 0.0762697918 0.0031082654
58560.4957273148 2.7828845618 0.0439641929 0.0770630468 0.0031205809
58560.4958319792 2.8175130395 0.0449752738 0.0746439794 0.0030921372
58560.4959364352 2.8848570357 0.0473756146 0.0701547669 0.003061274
58560.4960409838 2.8242171299 0.0448043479 0.0741844956 0.0030614239
58560.4961456134 2.7866662956 0.0436726108 0.076795095 0.0030891059
58560.4962501852 2.7969546212 0.0442369666 0.0760708294 0.0030995144
58560.4963547106 2.8181958449 0.0444822143 0.0745970515 0.0030563158
58560.4964592477 2.8132743054 0.0445677095 0.0749359604 0.0030761022
58560.4965638079 2.7882209548 0.0432989316 0.0766852112 0.0030582921
58560.4966684259 2.8884200915 0.0470893089 0.0699249176 0.0030328047
58560.4967729977 2.8634534181 0.0458086334 0.0715514819 0.0030189515
58560.4968775463 2.8189286402 0.0445793186 0.0745467207 0.0030609211
58560.4969820718 2.8212832652 0.0443284765 0.0743852272 0.003037104
58560.4970865972 2.7724027258 0.0429552113 0.0778106261 0.0030785409
58560.497191169 2.7892675622 0.0435856636 0.0766113253 0.0030755784
58560.4972957292 2.8074171737 0.0434459655 0.0753413036 0.0030148988
58560.4974002894 2.8061807473 0.0438172449 0.0754271505 0.0030441281
58560.4975048727 2.8148454451 0.0432169162 0.074827601 0.0029785559
58560.4976094329 2.7630562942 0.042202757 0.078483341 0.003050763
58560.4977139699 2.8619906992 0.0456916204 0.071647942 0.0030152994
58560.4978185185 2.7926392374 0.043525882 0.0763737834 0.0030618369
58560.4979230903 2.8217888617 0.0436130019 0.0743505962 0.0029866931
58560.4980276505 2.8232382427 0.0440329588 0.0742514096 0.0030114297
58560.4981322569 2.889411802 0.0459136396 0.0698610774 0.0029543855
58560.4982368171 2.7568264138 0.0423501673 0.0789349675 0.0030790357
58560.4983414005 2.8411368452 0.0450152131 0.0730373928 0.003028271
58560.4984459259 2.8227362576 0.0436018414 0.0742857474 0.0029833245
58560.4985505787 2.8876429013 0.0459284959 0.0699749891 0.0029601603
58560.4986550926 2.8749672521 0.0459968245 0.0707967138 0.0029993774
58560.4987596644 2.8276425161 0.0448447845 0.0739508199 0.0030545349
58560.4988641435 2.8124255172 0.04358207 0.0749945655 0.003010425
58560.4989688079 2.7541438343 0.042216222 0.079130237 0.0030768902
58560.4990732523 2.8326015506 0.0447017044 0.0736138242 0.0030309141
58560.4991778125 2.8183964075 0.0435834347 0.0745832728 0.0029940087
58560.4992823843 2.7828546863 0.0424793638 0.0770651673 0.0030152706
58560.4993870023 2.7807932547 0.0426925733 0.077211626 0.0030361638
58560.4994915278 2.8378140531 0.0434489246 0.0732612592 0.0029318623
58560.4995960764 2.8240830874 0.0435080431 0.0741936548 0.0029732161
58560.499700625 2.8265185028 0.0441079173 0.0740274175 0.0030074562
58560.4998051736 2.7842299995 0.0423950512 0.0769676098 0.0030054764
58560.4999097685 2.8530766329 0.0454965694 0.0722386044 0.0030271794
58560.5000143056 2.7919505648 0.0427284211 0.0764222419 0.0030076464
58560.500118912 2.8374509287 0.0440808445 0.0732857655 0.0029754982
58560.5002234722 2.7469893957 0.0414445871 0.0796533859 0.0030406205
58560.500328044 2.8329294827 0.0436687534 0.0735915935 0.0029599826
58560.5004326505 2.7755805865 0.0427770192 0.0775832137 0.00305681
58560.5005371412 2.7855631539 0.0426726259 0.0768731608 0.0030214421
58560.5006417361 2.7998501331 0.0427588086 0.0758682291 0.0029879664
58560.5007463194 2.8453620638 0.0448567714 0.072753715 0.0030058918
58560.5008507986 2.7831551064 0.0424306032 0.0770438465 0.0030109762
58560.5009553588 2.7843811507 0.0421182634 0.0769568955 0.0029854387
58560.5010599074 2.822596633 0.0441397321 0.074295301 0.0030205164
58560.5011645139 2.7923741171 0.0432697966 0.076392435 0.0030445658
58560.5012690393 2.7925596758 0.0427359794 0.0763793802 0.0030064913
58560.5013736111 2.8072796509 0.043394434 0.0753508472 0.0030117043
58560.5014781597 2.7961095503 0.0432948655 0.0761300614 0.003035867
58560.5015827431 2.8046703676 0.0425834851 0.075532151 0.0029625331
58560.5016872801 2.7803564093 0.0428637421 0.0772426983 0.0030495635
58560.5017918287 2.8127572999 0.0430677573 0.0749716519 0.00297399
58560.5018965046 2.7829624062 0.0420964546 0.0770575217 0.0029877945
58560.5020010185 2.8221768394 0.0437809199 0.0743240324 0.0029971212
58560.5021055671 2.8064892963 0.0430513736 0.0754057183 0.0029900707
58560.5022101157 2.7626582008 0.0417932207 0.0785121228 0.0030222663
58560.5023146875 2.8310730539 0.0439270284 0.0737175305 0.0029825846
58560.5024192477 2.8289993735 0.0438844131 0.0738584604 0.0029853875
58560.5025238889 2.8416845405 0.0445437988 0.0730005587 0.0029950467
58560.5026283565 2.8289256399 0.0435296527 0.0738634764 0.0029614548
